id,n_atoms,hybr,n_rings,counted_rings,counted_atoms,sp,sp2,sp3,ma
C16285,"Dict{Symbol, Any}(:N => 1, :H => 7, :S => 1, :O => 2, :C => 7)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp3""]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1,11,0,9,2,8
C06670,"Dict{Symbol, Any}(:Cl => 2, :H => 4, :O => 2, :C => 7)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3""]","[1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]",1,11,0,9,2,7
C07301,"Dict{Symbol, Any}(:N => 1, :H => 9, :O => 2, :C => 8)","[""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1]",1,11,0,9,2,8
C03077,"Dict{Symbol, Any}(:Cl => 1, :H => 7, :O => 2, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3""]","[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",1,11,0,9,2,8
C05629,"Dict{Symbol, Any}(:H => 10, :O => 2, :C => 9)","[""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0]",1,11,0,9,2,8
C16706,"Dict{Symbol, Any}(:H => 10, :O => 2, :C => 9)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp3"", ""sp2"", ""sp2""]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1,11,0,9,2,8
C14108,"Dict{Symbol, Any}(:H => 8, :O => 3, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp3"", ""sp2""]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1,11,0,9,2,7
C10428,"Dict{Symbol, Any}(:H => 12, :O => 1, :C => 10)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp3""]","[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",1,11,0,9,2,6
C02646,"Dict{Symbol, Any}(:H => 10, :O => 2, :C => 9)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp3""]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1,11,0,9,2,6
C01983,"Dict{Symbol, Any}(:H => 8, :O => 3, :C => 8)","[""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1]",1,11,0,9,2,7
