cpd	ma
C04001	6
C01215	8
C21250	6
C05375	8
C19569	10
C21568	7
C02236	10
C12026	9
C05582	9
C01278	7
C10447	8
C04044	9
C04553	7
C05580	8
C20327	9
C06525	10
C13747	10
C07130	9
C11821	10
C07480	10
C03230	9
C15770	11
C12833	6
C18303	7
C06582	9
C18305	8
C12835	7
C05829	8
C18310	7
C05638	9
C10478	7
C18242	7
C00590	8
C05636	9
C10454	7
C05583	9
C00082	9
C04773	9
C04368	9
C03664	9
C03964	8
C21308	9
C21326	11
C21325	11
C06206	10
C00847	9
C21075	10
C15475	9
C21762	9
C00780	9
C00624	7
C00311	6
C06201	8
C00158	6
C22611	7
C17235	9
C19712	10
C16569	9
C12622	7
C22572	9
C21085	9
C19579	10
C15995	11
C20953	9
C06213	8
C08304	8
C17203	9
C14111	9
C15476	9
C05548	9
C16589	7
C05933	10
C03871	7
C00679	7
C02305	11
C18244	7
C03921	7
C18308	8
C20361	10
C05589	9
C05594	8
C04599	8
C20954	10
C00788	9
C20258	8
C14083	7
C14102	7
C09642	9
C17947	8
C11405	8
C03082	9
C21372	8
C04575	7
C11419	8
C17949	10
C20271	8
C11588	8
C01056	11
C06070	7
C06054	9
C20914	7
C22453	10
C17212	8
C07335	10
C02727	8
C00666	6
C14876	9
C17210	8
C04546	5
C00680	6
C20889	6
C14112	6
C20920	9
C11842	8
C06855	8
C21068	10
C21195	8
C20896	6
C20918	9
C04327	12
C14784	9
C16850	8
C21644	6
C11420	6
C17224	9
C00618	6
C01092	7
C11406	6
C06473	6
C20959	9
C11404	7
C11417	7
C12109	8
C19079	8
C19084	8
C06066	8
C20324	7
C00944	7
C02952	7
C21930	7
C20560	8
C06055	9
C03393	9
C17695	7
C12505	2
C00536	5
C11437	9
C01037	7
C00817	6
C00880	6
C03793	9
C00800	6
C00514	6
C00257	6
C18172	7
C03752	6
C17253	7
C17225	9
C15930	6
C00191	7
C00905	7
C00296	6
C00333	7
C10858	9
C12452	9
C04718	7
C12453	9
C12449	9
C14113	6
C22014	8
C21247	7
C17694	7
C17691	7
C11434	7
C01233	8
C00672	9
C00673	9
C03660	5
C03659	5
C03611	6
C16421	7
C16286	6
C21891	9
C04324	7
C02526	7
C03622	7
C06203	8
C03223	8
C20316	7
C03233	7
C09305	8
C04185	9
C20248	10
C06712	7
C07732	6
C21476	8
C11422	6
C09060	8
C17938	9
C12468	7
C22452	8
