cpd	ma
C21094	19
C04895	19
C12157	17
C12272	19
C01345	19
C00131	19
C01091	21
C00751	8
C16566	14
C15970	18
C11039	21
C21749	20
C20534	20
C20527	16
C15883	16
C00513	20
C05674	22
C21130	16
C01844	16
C00110	18
C04590	15
C10829	19
C14152	12
C02483	14
C20839	17
C21076	15
C21077	15
C15783	14
C16509	15
C22123	15
C11508	13
C11455	14
C01561	18
C07712	16
C17333	15
C19834	16
C05108	13
C15796	16
C17339	15
C15776	14
C11522	16
C17331	15
C15782	15
C20270	18
C08817	15
C21656	18
C05442	16
C17336	14
C08821	15
C16493	14
C17332	16
C17651	17
C15915	11
C15789	14
C10822	20
C01753	14
C05445	15
C05501	15
C15795	15
C08898	18
C06341	16
C06310	14
C22447	15
C15518	15
C05453	15
C15797	16
C15520	15
C05499	16
C16251	16
C10826	18
C15788	15
C05454	12
C15798	16
C05444	14
C19698	16
C12371	20
C22167	22
C21280	20
C21479	19
C18680	22
C22171	23
C02811	21
C12425	20
C16911	18
C11158	22
C13334	21
C22075	14
C16407	19
C16406	18
C21588	19
C09126	19
C06433	23
C14793	20
C01460	17
C12137	20
C04608	18
C14792	20
C14791	20
C10509	19
C20995	19
C11221	18
C01604	20
C09099	20
C22395	22
C16492	19
C21805	22
C03794	22
C00018	22
C01847	22
C18128	22
C17961	20
C17960	20
C12038	21
C16223	18
C06148	19
C20813	19
C07024	21
C03577	17
C15976	21
