first,second
rn:R00833,"Dict{String, Any}(""MA_IN"" => Any[39], ""MAIN_PAIRS"" => Any[""RC00395:C00091_C01213""], ""ENZYME"" => 5, ""MA_OUT"" => Any[40], ""OUT"" => [""C00091""], ""IN"" => [""C01213""], ""MEAN_MA"" => 39.5, ""DIFF"" => 1, ""EQUATION"" => ""C01213 <=> C00091"", ""RCLASS"" => Any[""RC00395""])"
rn:R01977,"Dict{String, Any}(""MA_IN"" => Any[39, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00117:C00332_C03561""], ""ENZYME"" => 1, ""MA_OUT"" => Any[39, 31], ""OUT"" => [""C00332"", ""C00005"", ""C00080""], ""IN"" => [""C03561"", ""C00006""], ""MEAN_MA"" => 35.5, ""DIFF"" => -2, ""EQUATION"" => ""C03561 + C00006 <=> C00332 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00117""])"
rn:R01908,"Dict{String, Any}(""MA_IN"" => Any[37], ""MAIN_PAIRS"" => Any[""RC00620:C00313_C00798""], ""ENZYME"" => 4, ""MA_OUT"" => Any[34], ""OUT"" => [""C00798"", ""C00011""], ""IN"" => [""C00313""], ""MEAN_MA"" => 35.5, ""DIFF"" => -3, ""EQUATION"" => ""C00313 <=> C00798 + C00011"", ""RCLASS"" => Any[""RC00620""])"
rn:R07290,"Dict{String, Any}(""MA_IN"" => Any[34, 3], ""MAIN_PAIRS"" => Any[""RC00179:C00209_C00313"", ""RC00320:C00058_C00798""], ""ENZYME"" => 2, ""MA_OUT"" => Any[1, 37], ""OUT"" => [""C00058"", ""C00313""], ""IN"" => [""C00798"", ""C00209""], ""MEAN_MA"" => 18.75, ""DIFF"" => 1, ""EQUATION"" => ""C00798 + C00209 <=> C00058 + C00313"", ""RCLASS"" => Any[""RC00179"", ""RC00320""])"
rn:R00253,"Dict{String, Any}(""MA_IN"" => Any[20, 5, 1], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00010:C00025_C00064"", ""RC02798:C00014_C00064""], ""ENZYME"" => 6, ""MA_OUT"" => Any[19, 6], ""OUT"" => [""C00008"", ""C00009"", ""C00064""], ""IN"" => [""C00002"", ""C00025"", ""C00014""], ""MEAN_MA"" => 10.583333333333332, ""DIFF"" => -1, ""EQUATION"" => ""C00002 + C00025 + C00014 <=> C00008 + C00009 + C00064"", ""RCLASS"" => Any[""RC00002"", ""RC00010"", ""RC02798""])"
rn:R01781,"Dict{String, Any}(""MA_IN"" => Any[2, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00087:C00266_C01380""], ""ENZYME"" => 1, ""MA_OUT"" => Any[2, 30], ""OUT"" => [""C00266"", ""C00004"", ""C00080""], ""IN"" => [""C01380"", ""C00003""], ""MEAN_MA"" => 16.75, ""DIFF"" => -3, ""EQUATION"" => ""C01380 + C00003 <=> C00266 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00087""])"
rn:R00518,"Dict{String, Any}(""MA_IN"" => Any[20, 1], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00319:C00058_C02405""], ""ENZYME"" => 2, ""MA_OUT"" => Any[19, 5], ""OUT"" => [""C00008"", ""C02405""], ""IN"" => [""C00002"", ""C00058""], ""MEAN_MA"" => 11.25, ""DIFF"" => 3, ""EQUATION"" => ""C00002 + C00058 <=> C00008 + C02405"", ""RCLASS"" => Any[""RC00002"", ""RC00319""])"
rn:R02509,"Dict{String, Any}(""MA_IN"" => Any[3], ""MAIN_PAIRS"" => Any[""RC00111:C00058_C03134"", ""RC00731:C00543_C03134""], ""ENZYME"" => 3, ""MA_OUT"" => Any[1, 1], ""OUT"" => [""C00543"", ""C00058""], ""IN"" => [""C03134"", ""C00001""], ""MEAN_MA"" => 2.0, ""DIFF"" => -1, ""EQUATION"" => ""C03134 + C00001 <=> C00543 + C00058"", ""RCLASS"" => Any[""RC00111"", ""RC00731""])"
rn:R00372,"Dict{String, Any}(""MA_IN"" => Any[3, 5], ""MAIN_PAIRS"" => Any[""RC00006:C00025_C00026"", ""RC00018:C00037_C00048""], ""ENZYME"" => 2, ""MA_OUT"" => Any[3, 5], ""OUT"" => [""C00048"", ""C00025""], ""IN"" => [""C00037"", ""C00026""], ""MEAN_MA"" => 4.0, ""DIFF"" => 0, ""EQUATION"" => ""C00037 + C00026 <=> C00048 + C00025"", ""RCLASS"" => Any[""RC00006"", ""RC00018""])"
rn:R00524,"Dict{String, Any}(""MA_IN"" => Any[1], ""MAIN_PAIRS"" => Any[""RC02432:C00058_C00488"", ""RC02810:C00014_C00488""], ""ENZYME"" => 3, ""MA_OUT"" => Any[1, 1], ""OUT"" => [""C00058"", ""C00014""], ""IN"" => [""C00488"", ""C00001""], ""MEAN_MA"" => 1.0, ""DIFF"" => 1, ""EQUATION"" => ""C00488 + C00001 <=> C00058 + C00014"", ""RCLASS"" => Any[""RC02432"", ""RC02810""])"
