cpd,ma
C06000,38.0
C06002,4.0
C06019,9.0
C06020,25.0
C06021,22.0
C06032,5.0
C06055,9.0
C06056,5.0
C06112,39.0
C06113,25.0
C06156,10.0
C06193,18.0
C06196,17.0
C06201,8.0
C06232,2.0
C06240,27.0
C06244,2.0
C06249,9.0
C06250,16.0
C06322,39.0
C06326,6.0
C06378,6.0
C06423,6.0
C06481,24.0
C06504,38.0
C06505,32.0
C06506,49.0
C06508,52.0
C06697,2.0
C06717,18.0
C07086,7.0
C07281,9.0
C07282,11.0
C07478,7.0
C07479,7.0
C07649,6.0
C09815,6.0
C11039,20.0
C11062,38.0
C11215,3.0
C11481,2.0
C11536,11.0
C11537,7.0
C11572,26.0
C11823,4.0
C11903,24.0
C11904,22.0
C11945,40.0
C11946,41.0
C11947,41.0
C14144,39.0
C14145,41.0
C14818,1.0
C14819,1.0
C15489,43.0
C15521,4.0
C15527,31.0
C15532,10.0
C15547,43.0
C15585,NaN
C15602,NaN
C15603,NaN
C15810,6.0
C15811,8.0
C15812,9.0
C15813,23.0
C15814,6.0
C15853,6.0
C15854,12.0
C15972,9.0
C15973,8.0
C16219,9.0
C16220,9.0
C16237,9.0
C16238,26.0
C16240,0.0
C16241,8.0
C16255,10.0
C16328,47.0
C16329,47.0
C16332,47.0
C16333,45.0
C16336,45.0
C16337,44.0
C16396,7.0
C16399,6.0
C16468,39.0
C16469,39.0
C16630,6.0
C16631,8.0
C16633,12.0
C16634,16.0
C16636,NaN
C16720,16.0
C17022,28.0
C17234,5.0
C17324,36.0
C18026,40.0
C18059,45.0
C18060,13.0
C18096,10.0
C18237,22.0
C18239,17.0
C18799,43.0
C18802,43.0
C18902,2.0
C19078,32.0
C19080,41.0
C19085,59.0
C19152,30.0
C19153,26.0
C19647,43.0
C19703,18.0
C19722,35.0
C19771,44.0
C19787,14.0
C19794,25.0
C19847,11.0
C19848,34.0
C19852,31.0
C19858,11.0
C19859,11.0
C19871,38.0
C19967,21.0
C19968,19.0
C20238,40.0
C20246,14.0
C20247,14.0
C20345,8.0
C20372,8.0
C20373,8.0
C20376,8.0
C20377,9.0
C20482,30.0
C20483,33.0
C20518,21.0
C20580,38.0
C20627,45.0
C20641,23.0
C20642,30.0
C20648,36.0
C20663,12.0
C20729,10.0
C20751,42.0
C20796,36.0
C20830,9.0
C20831,13.0
C20858,9.0
C20864,28.0
C20905,5.0
C21028,6.0
C21029,8.0
C21031,32.0
C21214,8.0
C21215,26.0
C21310,22.0
C21437,9.0
C21440,9.0
C21621,21.0
C21629,22.0
C21652,15.0
C21851,16.0
C22029,10.0
C22157,0.0
C22158,0.0
C22160,7.0
C22453,10.0
C22529,20.0
C22634,26.0
C22636,60.0
C22639,26.0
