cpd,ma
C14791,20.0
C14792,20.0
C14793,20.0
C14800,10.0
C14802,10.0
C14803,23.0
C14804,22.0
C14805,22.0
C14806,22.0
C14818,1.0
C14839,6.0
C14840,6.0
C14847,18.0
C14848,18.0
C14851,11.0
C14852,10.0
C14855,26.0
C14856,25.0
C14857,4.0
C14858,3.0
C14859,3.0
C14861,15.0
C14863,20.0
C14864,14.0
C14865,14.0
C14868,15.0
C14870,2.0
C14871,13.0
C14874,14.0
C15498,1.0
C15585,NaN
C15586,13.0
C15587,7.0
C15602,NaN
C15603,NaN
C15647,12.0
C15670,39.0
C15672,39.0
C15811,8.0
C15812,9.0
C15972,9.0
C15973,8.0
C15996,10.0
C16219,9.0
C16220,9.0
C16221,10.0
C16236,7.0
C16237,9.0
C16239,8.0
C16240,0.0
C16254,12.0
C16255,10.0
C16328,46.0
C16329,47.0
C16330,47.0
C16332,47.0
C16333,45.0
C16334,46.0
C16336,45.0
C16337,44.0
C16338,45.0
C16463,33.0
C16468,39.0
C16469,39.0
C16471,40.0
C16636,NaN
C16663,NaN
C16664,7.0
C16675,12.0
C16738,3.0
C16832,8.0
C17023,NaN
C17322,35.0
C17324,36.0
C17551,10.0
C17552,11.0
C17556,32.0
C17562,11.0
C18026,39.0
C18096,10.0
C18796,4.0
C18902,2.0
C19586,16.0
C19647,43.0
C19673,6.0
C19722,35.0
C19723,39.0
C19846,8.0
C19847,11.0
C19858,11.0
C19859,11.0
C19875,77.0
C19876,82.0
C20239,10.0
C20248,10.0
C20258,8.0
C20372,8.0
C20373,8.0
C20374,8.0
C20375,7.0
C20376,8.0
C20377,9.0
C20378,10.0
C20440,9.0
C20446,38.0
C20451,35.0
C20463,13.0
C20641,23.0
C20648,36.0
C20683,5.0
C20751,42.0
C20752,44.0
C20753,40.0
C20754,43.0
C20755,38.0
C20796,36.0
C20858,9.0
C20864,28.0
C21031,32.0
C21072,42.0
C21214,8.0
C21215,26.0
C21284,29.0
C21440,9.0
C21748,17.0
C21749,20.0
C21750,17.0
C21751,19.0
C21758,38.0
C21860,11.0
C22150,NaN
C22151,NaN
C22154,NaN
C22155,NaN
C22157,0.0
C22158,0.0
C22159,7.0
C22160,7.0
C22328,40.0
C22329,40.0
C22398,6.0
C22409,27.0
C22410,33.0
C22418,30.0
C22441,17.0
C22442,19.0
C22443,19.0
